id,university,universityNative,country,city,lat,lng,region,website,established,program_level,program_name,program_duration
1205,University of Cambridge,University of Cambridge,United Kingdom,Cambridge,52.2043,0.1218,europe,https://www.cam.ac.uk,1209,bachelor,Land Economy,3
1205,University of Cambridge,University of Cambridge,United Kingdom,Cambridge,52.2043,0.1218,europe,https://www.cam.ac.uk,1209,master,Land Economy,1
1210,University of West Attica,Πανεπιστήμιο Δυτικής Αττικής,Greece,Athens,38.0006,23.6752,europe,https://www.uniwa.gr,2018,master,Land Management & Real Estate,2
1300,Poznan University of Life Sciences,Uniwersytet Przyrodniczy w Poznaniu,Poland,Poznań,52.4064,16.9252,europe,https://www.up.poznan.pl,1951,bachelor,Land Resource Management,4
2000,Nanjing Agricultural University,南京农业大学,China,Nanjing,32.0603,118.7969,asia,https://www.njau.edu.cn,1902,bachelor,Land Resource Management,4
2000,Nanjing Agricultural University,南京农业大学,China,Nanjing,32.0603,118.7969,asia,https://www.njau.edu.cn,1902,master,Land Resource Management,3
2001,China University of Geosciences (Wuhan),中国地质大学（武汉）,China,Wuhan,30.525,114.395,asia,https://www.cug.edu.cn,1952,bachelor,Land Resource Management,4
2001,China University of Geosciences (Wuhan),中国地质大学（武汉）,China,Wuhan,30.525,114.395,asia,https://www.cug.edu.cn,1952,master,Land Resource Management,3
2002,Renmin University of China,中国人民大学,China,Beijing,39.9691,116.3145,asia,https://www.ruc.edu.cn,1950,bachelor,Land Resource Management,4
2002,Renmin University of China,中国人民大学,China,Beijing,39.9691,116.3145,asia,https://www.ruc.edu.cn,1950,master,Land Resource Management,3
2003,Zhejiang University,浙江大学,China,Hangzhou,30.3053,120.0916,asia,https://www.zju.edu.cn,1897,bachelor,Land Resource Management,4
2003,Zhejiang University,浙江大学,China,Hangzhou,30.3053,120.0916,asia,https://www.zju.edu.cn,1897,master,Land Resource Management,3
2004,Nanjing University,南京大学,China,Nanjing,32.0566,118.7789,asia,https://www.nju.edu.cn,1902,master,Land Resource Management,3
2005,Wuhan University,武汉大学,China,Wuhan,30.5365,114.3643,asia,https://www.whu.edu.cn,1893,bachelor,Land Resource Management,4
2005,Wuhan University,武汉大学,China,Wuhan,30.5365,114.3643,asia,https://www.whu.edu.cn,1893,master,Land Resource Management,3
2006,Huazhong University of Science and Technology,华中科技大学,China,Wuhan,30.5130,114.4202,asia,https://www.hust.edu.cn,1953,master,Land Resource Management,3
2007,Sichuan University,四川大学,China,Chengdu,30.6253,104.0830,asia,https://www.scu.edu.cn,1896,bachelor,Land Resource Management,4
2007,Sichuan University,四川大学,China,Chengdu,30.6253,104.0830,asia,https://www.scu.edu.cn,1896,master,Land Resource Management,3
2008,Beijing Normal University,北京师范大学,China,Beijing,39.9619,116.3662,asia,https://www.bnu.edu.cn,1902,bachelor,Land Resource Management,4
2008,Beijing Normal University,北京师范大学,China,Beijing,39.9619,116.3662,asia,https://www.bnu.edu.cn,1902,master,Land Resource Management,3
2009,China Agricultural University,中国农业大学,China,Beijing,40.0025,116.3563,asia,https://www.cau.edu.cn,1905,bachelor,Land Resource Management,4
2009,China Agricultural University,中国农业大学,China,Beijing,40.0025,116.3563,asia,https://www.cau.edu.cn,1905,master,Land Resource Management,3
2010,Jilin University,吉林大学,China,Changchun,43.8256,125.2848,asia,https://www.jlu.edu.cn,1946,bachelor,Land Resource Management,4
2010,Jilin University,吉林大学,China,Changchun,43.8256,125.2848,asia,https://www.jlu.edu.cn,1946,master,Land Resource Management,3
